1, 171
2, 323
3, 340
4, 146
5, 412
6, 54
7, 385
8, 80
9, 311
10, 189
11, 249
12, 496
13, 287
14, 256
15, 302
16, 428
17, 442
18, 300
19, 28
20, 253
21, 140
22, 432
23, 322
24, 222
25, 13
26, 474
27, 432
28, 404
29, 143
30, 61
31, 286
32, 314
33, 384
34, 125
35, 207
36, 295
37, 426
38, 338
39, 121
40, 236
41, 273
42, 370
43, 231
44, 59
45, 373
46, 279
47, 233
48, 314
49, 325
50, 262
51, 66
52, 465
53, 193
54, 389
55, 433
56, 206
57, 108
58, 365
59, 356
60, 252
61, 172
62, 141
63, 312
64, 55
65, 12
66, 18
67, 96
68, 438
69, 102
70, 217
71, 420
72, 376
73, 333
74, 397
75, 181
76, 452
77, 175
78, 161
79, 266
80, 246
81, 423
82, 332
83, 458
84, 362
85, 467
86, 136
87, 314
88, 322
89, 0
90, 169
91, 73
92, 419
93, 56
94, 385
95, 474
96, 68
97, 150
98, 316
99, 5
100, 252
101, 279
102, 425
103, 374
104, 359
105, 321
106, 302
107, 310
108, 242
109, 463
110, 322
111, 234
112, 131
113, 401
114, 191
115, 493
116, 113
117, 328
118, 52
119, 435
120, 74
121, 221
122, 7
123, 494
124, 277
125, 139
126, 213
127, 91
128, 289
129, 276
130, 96
131, 287
132, 301
133, 267
134, 408
135, 159
136, 334
137, 209
138, 216
139, 322
140, 171
141, 37
142, 55
143, 302
144, 184
145, 494
146, 40
147, 298
148, 321
149, 92
150, 479
151, 141
152, 59
153, 487
154, 134
155, 82
156, 372
157, 94
158, 173
159, 160
160, 370
161, 15
162, 193
163, 170
164, 282
165, 100
166, 76
167, 115
168, 309
169, 292
170, 437
171, 226
172, 75
173, 238
174, 274
175, 6
176, 231
177, 60
178, 304
179, 298
180, 152
181, 282
182, 440
183, 458
184, 14
185, 320
186, 286
187, 386
188, 414
189, 459
190, 292
191, 283
192, 474
193, 486
194, 200
195, 1
196, 85
197, 276
198, 116
199, 141
200, 314
201, 299
202, 367
203, 135
204, 37
205, 388
206, 141
207, 14
208, 448
209, 191
210, 313
211, 347
212, 474
213, 499
214, 304
215, 234
216, 318
217, 90
218, 367
219, 232
220, 295
221, 158
222, 261
223, 15
224, 143
225, 207
226, 16
227, 476
228, 483
229, 380
230, 363
231, 42
232, 178
233, 229
234, 178
235, 462
236, 363
237, 319
238, 223
239, 311
240, 10
241, 35
242, 157
243, 230
244, 280
245, 207
246, 464
247, 97
248, 43
249, 330
250, 75
251, 85
252, 235
253, 83
254, 100
255, 378
256, 290
257, 116
258, 99
259, 19
260, 242
261, 462
262, 61
263, 167
264, 438
265, 239
266, 375
267, 300
268, 58
269, 97
270, 357
271, 315
272, 379
273, 260
274, 44
275, 158
276, 468
277, 254
278, 256
279, 257
280, 331
281, 331
282, 342
283, 65
284, 160
285, 442
286, 189
287, 451
288, 305
289, 289
290, 470
291, 46
292, 497
293, 30
294, 213
295, 180
296, 16
297, 88
298, 481
